Number of Employees T12: 10
Number of Employees ALL: 10
Average Satisfaction Level All
t,w = 0,w = 1,w = 3
1.0, 0.6754889234900474, 0.6754889234900474, 0.6754889234900474
2.0, 0.6384927624464035, 0.6467999229828516, 0.6467999229828516
3.0, 0.626418083012104, 0.6269094836711884, 0.6324545767903327
4.0, 0.6158176055550575, 0.616097066005071, 0.6225032261439731
5.0, 0.6060555094480514, 0.6068579740325609, 0.61094128459692
6.0, 0.598700807094574, 0.6004350695013999, 0.6037224118624415
7.0, 0.5965488919615746, 0.5966016772389412, 0.5977041671957288
8.0, 0.5945553326606751, 0.5930216259757678, 0.5927331686019898
9.0, 0.5879606533050538, 0.5889354521036149, 0.5889460165160043
10.0, 0.5842903703451157, 0.5844238796830178, 0.5858896601625851
11.0, 0.5810206153988838, 0.5816188101967176, 0.5828435595120702
12.0, 0.5795454448461532, 0.5792907909552256, 0.5796997190799031
13.0, 0.5773063126206398, 0.5773593149582544, 0.5771970442788942
14.0, 0.5752261874079704, 0.575026983221372, 0.5752639218739101
15.0, 0.5725484496355057, 0.5727388555804889, 0.5735256076284817
16.0, 0.5704419296979905, 0.5712496309479077, 0.5719632112554142
17.0, 0.5707585135102272, 0.570017619629701, 0.5706047093016761
18.0, 0.5688524156808853, 0.5694065331419309, 0.5691455308028629
19.0, 0.5686086702346802, 0.5684192949533462, 0.56781649853502
20.0, 0.5677967989444732, 0.5671391356984774, 0.566712946168014
21.0, 0.5650119379162788, 0.5653513202071189, 0.5654705192787307
22.0, 0.5632452237606048, 0.5636580749352772, 0.5644131306665284
23.0, 0.5627170631289482, 0.5626746040582656, 0.5633501287869044
24.0, 0.562061525285244, 0.5620764279365539, 0.56220554373094
25.0, 0.5614506953954697, 0.5615599592526753, 0.5614209545084409
26.0, 0.5611676570773124, 0.5608010186751683, 0.5609301359738622
27.0, 0.5597847035527229, 0.5601573913296064, 0.5605509810788291
28.0, 0.5595198133587838, 0.5597046703100205, 0.5602080058625766
29.0, 0.5598094940185547, 0.5597974287470182, 0.5598238212721689
30.0, 0.5600629788637161, 0.5598443905512492, 0.5594432356527873
31.0, 0.5596606987714767, 0.5594950269659361, 0.5591162029334477
32.0, 0.5587614032626153, 0.5589752199252447, 0.5586818565215382
33.0, 0.558503557741642, 0.5582534785072008, 0.5581586163384573
34.0, 0.5574954745173454, 0.5574928069114685, 0.5575419256516866
35.0, 0.5564793884754181, 0.5567072252432506, 0.556916637463229
36.0, 0.5561468127369881, 0.5561241150895754, 0.5564676095758165
37.0, 0.5557461440563202, 0.5557255460818609, 0.5561067318490573
38.0, 0.5552836814522744, 0.5555493445197741, 0.5558139876382692
39.0, 0.5556182080507278, 0.5556264343857765, 0.5557003454225404
40.0, 0.5559774136543274, 0.5556806289156279, 0.5556169021555356
41.0, 0.5554462650418281, 0.5557025238871575, 0.5555572269218308
42.0, 0.5556838929653167, 0.5555642892916998, 0.5554726717301778
43.0, 0.5555627098679543, 0.5555250067512194, 0.5553112027474812
44.0, 0.5553284174203873, 0.5551943074663481, 0.5550212542925562
45.0, 0.5546917951107025, 0.5548360459009807, 0.5547094155635153
46.0, 0.5544879251718521, 0.5543758315841357, 0.5542352981226786
47.0, 0.5539477744698524, 0.553899697860082, 0.5536948423300472
48.0, 0.5532633939385414, 0.5531920797626177, 0.5531917136907577
49.0, 0.5523650708794594, 0.552469328045845, 0.5527672320178577
50.0, 0.5517795193195343, 0.5519837023814519, 0.5522657970871244
51.0, 0.5518065169453621, 0.5517688198884328, 0.5517831538830485
52.0, 0.5517204234004021, 0.5515016070008277, 0.5513251311864172
53.0, 0.5509778806567192, 0.5510891920328139, 0.5509626861129489
54.0, 0.5505692720413208, 0.5505347959200542, 0.5506941529256957
55.0, 0.5500572350621223, 0.5501514874895413, 0.550405253810542
56.0, 0.5498279553651809, 0.5499283258120219, 0.5500914858920234
57.0, 0.5498997870087624, 0.5498373218377431, 0.5498875903657504
58.0, 0.549784223139286, 0.54973601937294, 0.549706946015358
59.0, 0.5495240479707718, 0.5496196276942888, 0.5495493773051671
60.0, 0.5495506119728089, 0.5494598071773846, 0.5493567293456623
61.0, 0.5493047615885734, 0.5492698758840561, 0.5491028471929685
62.0, 0.548954254090786, 0.5489128117760023, 0.5488843867182731
63.0, 0.5484794196486473, 0.5485187618931134, 0.5487395766377449
64.0, 0.5481226119399071, 0.5482856771349907, 0.548591112281595
65.0, 0.5482549998164177, 0.5482959963877995, 0.54845694316285
66.0, 0.548510377407074, 0.5484255795677503, 0.5483445338266236
67.0, 0.5485113614797592, 0.5484624388813972, 0.5483030776466642
68.0, 0.5483655777573585, 0.5483481093247732, 0.5483572881988117
69.0, 0.5481673887372017, 0.5482407309611639, 0.548384265771934
