Number of Employees T12: 8
Number of Employees ALL: 8
Average Satisfaction Level T12
t,w = 0,w = 1,w = 3,w = 5
1.0, 0.9, 0.9, 0.9, 0.9
2.0, 1.0, 0.9666666666666667, 0.9666666666666667, 0.9666666666666667
3.0, 1.0, 1.0, 0.9794444441795349, 0.9794444441795349
4.0, 1.0, 0.9990740736325582, 0.9686690083571844, 0.9686690083571844
5.0, 0.9972222208976745, 0.9882577558358511, 0.9632346502372197, 0.9417615864011977
6.0, 0.9675510466098786, 0.9602276861667632, 0.9394077539443969, 0.9237859628417275
7.0, 0.9159097909927368, 0.9151401102542877, 0.9164552927017212, 0.918998812003569
8.0, 0.8619594931602478, 0.8703603367010753, 0.8945207987512861, 0.9051207520745016
9.0, 0.8332117259502411, 0.8448346634705861, 0.8731092444487981, 0.8912426921454341
10.0, 0.8393327713012695, 0.8396676798661549, 0.8559364293302808, 0.8773646322163667
11.0, 0.8464585423469544, 0.8443775514761608, 0.846140936442784, 0.863739097660238
12.0, 0.8473413407802581, 0.8470470746358236, 0.8440526289599283, 0.8528109425848179
13.0, 0.8473413407802581, 0.847341340780258, 0.8460711453642166, 0.8465774471109563
14.0, 0.8473413407802581, 0.847341340780258, 0.8472152267183578, 0.8452485241673209
15.0, 0.8473413407802581, 0.847341340780258, 0.8473413407802582, 0.8465330346064135
16.0, 0.8473413407802581, 0.847341340780258, 0.8473413407802582, 0.8472610863772306
17.0, 0.8473413407802581, 0.847341340780258, 0.8473413407802582, 0.8473413407802581
18.0, 0.8473413407802581, 0.847341340780258, 0.8473413407802582, 0.8473413407802581
19.0, 0.8473413407802581, 0.847341340780258, 0.8473413407802582, 0.8473413407802581
20.0, 0.8473413407802581, 0.847341340780258, 0.8473413407802582, 0.8475787720896981
21.0, 0.8473413407802581, 0.847341340780258, 0.8473413407802582, 0.8471082595261662
22.0, 0.8473413407802581, 0.847341340780258, 0.8477144471236638, 0.845085724917325
23.0, 0.8473413407802581, 0.847341340780258, 0.8469750702381135, 0.8425685936754399
24.0, 0.8473413407802581, 0.8482119222482045, 0.8437968015670777, 0.8407868065617301
25.0, 0.8499530851840973, 0.8464867095152537, 0.8398413096155439, 0.839129324392839
26.0, 0.8421657025814057, 0.8390707492828368, 0.837041358436857, 0.8373900272629478
27.0, 0.8250934600830078, 0.8289706865946451, 0.834436743600028, 0.8356507301330567
28.0, 0.819652897119522, 0.8241626799106597, 0.8317035623959133, 0.8339114330031656
29.0, 0.8277416825294495, 0.8255012055238088, 0.8285972748483931, 0.8321721358732744
30.0, 0.8291090369224549, 0.8283532639344533, 0.8266034705298287, 0.8304328387433831
31.0, 0.8282090723514557, 0.8285090605417887, 0.8270485579967498, 0.8284561103040521
32.0, 0.8282090723514557, 0.8282090723514557, 0.828270868744169, 0.8271873257376932
33.0, 0.8282090723514557, 0.8282090723514557, 0.8283376387187413, 0.8274705632166429
34.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282483973286369
35.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282908873124556
36.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
37.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
38.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
39.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
40.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
41.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
42.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
43.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
44.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
45.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
46.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
47.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
48.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
49.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
50.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
51.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
52.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
53.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
54.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
55.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
56.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
57.0, 0.8282090723514557, 0.8282090723514557, 0.8282090723514557
58.0, 0.8282090723514557, 0.8282090723514557
59.0, 0.8282090723514557, 0.8282090723514557
60.0, 0.8282090723514557
Average Satisfaction Level T34
t,w = 0,w = 1,w = 3,w = 5
1.0, 0.1, 0.1, 0.1, 0.1
2.0, 0.9, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666
3.0, 1.0, 0.9666666666666667, 0.7967948722839355, 0.7967948722839355
4.0, 1.0, 0.9946581204732259, 0.8251745751925876, 0.8251745751925876
5.0, 0.9839743614196778, 0.9676665663719177, 0.9283300944737024, 0.820504276620017
