--- WarmUp Output --- 
numEmployeeT12: 8	numEmployeeALL: 8
Number of Employees T12: 8
Number of Employees ALL: 8
Average Satisfaction Level T12
t,w = 0,w = 1,w = 3,w = 5
1.0, 0.9, 0.9, 0.9, 0.9
2.0, 1.0, 0.9666666666666667, 0.9666666666666667, 0.9666666666666667
3.0, 1.0, 1.0, 0.9794285714626312, 0.9794285714626312
4.0, 1.0, 0.9990476191043854, 0.9417332555566515, 0.9417332555566515
5.0, 0.9971428573131561, 0.9750873843828837, 0.908164472239358, 0.87458768553204
6.0, 0.928119295835495, 0.8973775962988535, 0.8530413099697657, 0.8217670413580808
7.0, 0.7668706357479096, 0.7866694827874502, 0.793801695534161, 0.7929330037398771
8.0, 0.665018516778946, 0.6820090055465698, 0.7342053507055555, 0.7550080570307643
9.0, 0.614137864112854, 0.6214930266141891, 0.6750171691179275, 0.7170831103216517
10.0, 0.5853226989507675, 0.594095383087794, 0.6256894963128227, 0.6791581636125391
11.0, 0.5828255861997604, 0.5836579571167628, 0.5993973463773727, 0.641492957147685
12.0, 0.5828255861997604, 0.5828255861997604, 0.5876554991517748, 0.6101026199080728
13.0, 0.5828255861997604, 0.5828255861997604, 0.5831823165927614, 0.5933712517673319
14.0, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604, 0.5858991671692242
15.0, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604, 0.583052596449852
16.0, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604
17.0, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604
18.0, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604
19.0, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604
20.0, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604
21.0, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604, 0.582761565934528
22.0, 0.5828255861997604, 0.5828255861997604, 0.5828255861997604, 0.5821139985864812
23.0, 0.5828255861997604, 0.5828255861997604, 0.5827249829258238, 0.5788043485446409
24.0, 0.5828255861997604, 0.5828255861997604, 0.5817073770931789, 0.5714544177055358
25.0, 0.5828255861997604, 0.5825908452272416, 0.5765064984560013, 0.5591093946586955
26.0, 0.5821213632822037, 0.5802164316177368, 0.5649566071374076, 0.5428101981228048
27.0, 0.5757023453712463, 0.5680810481309891, 0.5455572852066586, 0.5243436209180139
28.0, 0.5464194357395172, 0.541366042693456, 0.5199442620788303, 0.5048437427390706
29.0, 0.5019763469696045, 0.49847537179787954, 0.49092535504273016, 0.4851944674145093
30.0, 0.4470303326845169, 0.45084703465302783, 0.4603832926068988, 0.4655451920899479
31.0, 0.40353442430496217, 0.41008599797884626, 0.4305234657866614, 0.4458959167653865
32.0, 0.37969323694705964, 0.38385152916113535, 0.4048469117709569, 0.4263106617060575
33.0, 0.3683269262313843, 0.3715679069360098, 0.3855193704366684, 0.40730895372954284
34.0, 0.36668355762958527, 0.36723134716351824, 0.3740412597145353, 0.3909693284468217
35.0, 0.36668355762958527, 0.36668355762958527, 0.3687768501894815, 0.3786699839613654
36.0, 0.36668355762958527, 0.36668355762958527, 0.3669183245726994, 0.37136573168364434
37.0, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527, 0.36801565289497373
38.0, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527, 0.3668329547752034
39.0, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527
40.0, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527
41.0, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527
42.0, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527
43.0, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527
44.0, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527, 0.3666042624549432
45.0, 0.36668355762958527, 0.36668355762958527, 0.36668355762958527, 0.36648899018764497
46.0, 0.36668355762958527, 0.36668355762958527, 0.36655895092657637, 0.36637371792034673
47.0, 0.36668355762958527, 0.36668355762958527, 0.3663778087922505, 0.3662584456530485
48.0, 0.36668355762958527, 0.3663928086558978, 0.3661966666579247, 0.36614317338575025
49.0, 0.3658113107085228, 0.3659701436758041, 0.3660155245235988, 0.36602790111845196
50.0, 0.36541556268930436, 0.36554747869571047, 0.365834382389273, 0.3659126288511537
51.0, 0.36541556268930436, 0.36541556268930436, 0.3656532402549471, 0.3657973565838554
52.0, 0.36541556268930436, 0.36541556268930436, 0.3654720981206213, 0.36568208431655713
53.0, 0.36541556268930436, 0.36541556268930436, 0.3654155626893044, 0.3655668120492589
54.0, 0.36541556268930436, 0.36541556268930436, 0.3654155626893044, 0.36545153978196065
55.0, 0.36541556268930436, 0.36541556268930436, 0.3654155626893044, 0.3654155626893045
56.0, 0.36541556268930436, 0.36541556268930436, 0.3654155626893044
57.0, 0.36541556268930436, 0.36541556268930436, 0.3654155626893044
58.0, 0.36541556268930436, 0.36541556268930436
59.0, 0.36541556268930436, 0.36541556268930436
60.0, 0.36541556268930436
Average Satisfaction Level T34
t,w = 0,w = 1,w = 3,w = 5
1.0, 0.1, 0.1, 0.1, 0.1
2.0, 0.9, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666
3.0, 1.0, 0.9666666666666667, 0.7966666674613953, 0.7966666674613953
4.0, 1.0, 0.994444445768992, 0.8265931265694755, 0.8265931265694755
